2,4
3,6
2,7
2,12
3,16
2,18
5,21
2,24
3,29
2,33
6,38
3,42
5,45
2,49
2,58
2,60
2,63
7,69
5,70
3,78
2,82
3,82
5,96
2,97
5,102
2,103
6,108
3,101
3,126
2,127
3,131
2,138
2,145
6,149
5,152
2,159
5,166
2,169
2,172
2,177
19,190
5,192
2,192
3,193
2,207
3,221
2,220
6,228
3,232
7,237
7,238
6,242
3,251
5,261
2,268
6,269
5,274
3,280
3,282
2,292
5,306
17,310
10,310
2,313
3,326
10,332
2,343
2,348
3,348
7,358
6,366
2,369
2,374
5,382
2,379
5,392
3,396
21,404
2,418
2,417
7,430
5,432
15,436
2,437
3,444
13,454
2,460
3,461
2,463
13,474
3,485
2,487
7,493
5,498
2,508
3,515
2,522
2,537
2,543
2,553
2,559
3,568
3,570
5,572
2,583
3,592
7,598
7,598
3,606
2,609
3,612
2,618
3,629
3,635
11,641
5,645
2,649
2,655
2,660
5,672
2,672
5,682
3,686
2,697
2,705
11,715
5,725
6,732
3,734
5,742
3,749
2,753
6,758
11,765
2,772
2,786
2,793
3,799
3,806
2,816
3,821
2,821
2,828
11,838
2,852
3,850
2,858
5,862
2,873
3,869
2,879
5,885
2,903
17,909
7,910
3,917
5,934
2,940
2,943
3,947
5,965
6,970
3,972
5,981
6,989
7,995
11,1008
3,1006
2,1015
10,1020
14,1029
5,1030
3,1033
3,1038
7,1049
2,1057
3,1062
6,1065
3,1085
2,1090
5,1092
3,1096
5,1091
2,1108
2,1113
2,1122
11,1124
17,1148
5,1152
5,1161
2,1167
7,1180
2,1181
3,1187
11,1192
2,1209
3,1211
5,1220
2,1225
3,1229
2,1236
7,1246
2,1258
2,1276
3,1277
2,1279
6,1280
2,1290
10,1294
2,1295
6,1302
2,1306
13,1316
13,1320
3,1326
3,1355
5,1365
2,1365
2,1377
13,1395
3,1404
3,1421
2,1426
6,1425
3,1420
7,1438
3,1446
2,1446
2,1449
3,1458
6,1470
3,1480
2,1482
5,1485
14,1487
2,1485
2,1495
11,1509
2,1518
2,1530
5,1541
2,1541
3,1552
19,1558
3,1565
2,1570
3,1578
5,1581
11,1594
3,1600
5,1605
7,1597
3,1606
2,1615
2,1617
3,1622
2,1633
11,1655
3,1662
2,1663
2,1665
2,1692
3,1692
3,1686
3,1696
3,1716
3,1722
2,1726
2,1740
2,1743
7,1746
6,1757
5,1774
10,1782
2,1783
6,1781
11,1796
6,1809
5,1822
3,1829
5,1845
2,1860
2,1866
14,1869
10,1870
2,1873
6,1877
3,1883
2,1896
2,1906
3,1908
2,1927
5,1932
2,1948
3,1949
2,1972
2,1975
2,1986
5,1990
2,1993
3,1998
5,2002
3,2004
